Ação;Empresa;Preço;Margem EBIT;P/VPA;EV/EBIT;Div.Yield;Volume Financ.(R$)
PFRM3;PROFARMA;3,39;3,02%;0,28;4,43;0,00%;901.369
PETZ3;PETZ;5,9;5,44%;1,49;18,05;0,66%;111.396.730
PETR4;PETROBRAS;22,05;47,78%;0,77;1,92;76,04%;2.902.925.613
PETR3;PETROBRAS;24,98;47,78%;0,87;1,92;67,12%;778.666.609
PEAB4;PAR AL BAHIA;58,05;-2,49%;1,1;-553,74;3,29%;5.665
PEAB3;PAR AL BAHIA;42,9;-2,49%;0,81;-553,74;4,04%;7.584
PDTC3;PADTEC;3;12,73%;1,8;6,71;0,00%;192.922
PDGR3;PDG REALT;0,12;-159,10%;-0,01;-4,29;0,00%;1.473.000
PCAR3;P.ACUCAR-CBD;16,36;2,97%;0,28;5,31;0,00%;52.373.751
PATI4;PANATLANTICA;51,99;5,30%;1,37;8,02;0,00%;80
PATI3;PANATLANTICA;42,86;5,30%;1,13;8,02;6,79%;4.168
PASS5;COMPASS;NA;12,84%;NA;NA;NA;0
PARD3;IHPARDINI;20,62;14,88%;2,82;9,35;2,47%;13.041.034
OSXB3;OSX BRASIL;6,4;-61,67%;0;-240,42;0,00%;73.050
ORVR3;ORIZON;32,33;18,62%;5,37;25,81;0,00%;16.333.567
OPTS3B;SUL 116 PART;NA;NA;NA;NA;NA;0
OPSE3B;SUDESTE S/A;NA;NA;NA;NA;NA;0
OPGM3B;GAMA PART;NA;NA;NA;NA;NA;0
OPCT3;OCEANPACT;2,84;0,61%;0,76;234,68;0,00%;1.756.464
ONCO3;ONCOCLINICAS;6,37;9,69%;1,25;15,78;0,00%;7.358.472
OIBR4;OI;0,57;-28,93%;-1,67;-6,55;0,00%;989.230
OIBR3;OI;0,2;-28,93%;-0,59;-6,55;0,00%;31.286.135
OFSA3;OUROFINO S/A;22,19;15,64%;1,65;9,29;2,42%;261.787
ODPV3;ODONTOPREV;8,48;29,78%;3,98;8;3,54%;20.269.568
ODER4;ODERICH;184,92;15,07%;5,03;20,7;0,00%;0
ODER3;ODERICH;NA;15,07%;NA;20,7;NA;0
NUTR3;NUTRIPLANT;280;9,40%;1,28;3,1;0,00%;0
NTCO3;GRUPO NATURA;9,91;1,22%;0,6;49,58;1,33%;201.566.727
NRTQ3;NORTCQUIMICA;NA;12,32%;NA;NA;NA;0
NORD3;NORDON MET;4,5;-22,58%;-0,2;-185,07;0,00%;1.084
NINJ3;GETNINJAS;2,89;-88,24%;0,52;2,55;0,00%;539.603
NGRD3;NEOGRID;1,42;2,03%;0,75;26,9;1,05%;1.213.551
NEXP3;NEXPE;0,29;-58,70%;1,87;-0,95;0,00%;134.643
NEOE3;NEOENERGIA;14,51;20,82%;0,65;5,9;5,50%;25.146.432
NEMO6;SUZANO HOLD;NA;41,91%;NA;NA;NA;0
NEMO5;SUZANO HOLD;NA;41,91%;NA;NA;NA;0
NEMO3;SUZANO HOLD;NA;41,91%;NA;NA;NA;0
MYPK3;IOCHP-MAXION;12,44;8,02%;0,43;4,9;14,78%;22.874.901
MWET4;WETZEL S/A;9,13;6,76%;-0,78;5,4;0,00%;81.215
MWET3;WETZEL S/A;29,98;6,76%;-2,57;5,4;0,00%;354
MULT3;MULTIPLAN;20,24;56,14%;1,86;13,7;4,53%;124.102.056
MTSA4;METISA;34,1;14,76%;0,8;3,49;5,81%;127.646
MTSA3;METISA;69,23;14,76%;1,63;3,49;0,00%;213
MTRE3;MITRE REALTY;3,33;6,14%;0,35;12,45;9,83%;2.126.173
MSRO3;MAESTROLOC;NA;41,32%;NA;NA;NA;0
MSPA4;MELHOR SP;41,35;-10,46%;0,33;-21,38;0,00%;0
MSPA3;MELHOR SP;50,01;-10,46%;0,4;-21,38;0,00%;0
MRVE3;MRV;7,49;12,01%;0,52;11,89;5,28%;125.819.931
